hops,beam,recall,avg_edges_checked,edge_reduction,avg_final_candidates
1,BFS,1.0000,3.165,0.0000,3.165
1,5,0.9750,3.2,0.0000,2.2
1,10,0.9800,3.2,0.0000,2.7
1,25,0.9900,3.2,0.0000,3.1
1,50,0.9900,3.2,0.0000,3.2
1,100,0.9900,3.2,0.0000,3.2
1,250,0.9900,3.2,0.0000,3.2

2,BFS,1.0000,612.3,0.0000,567.805
2,5,0.6250,244.8,0.6003,4.7
2,10,0.7800,508.8,0.1690,8.6
2,25,0.9000,611.6,0.0011,16.5
2,50,0.9400,612.3,0.0000,25.5
2,100,0.9500,612.3,0.0000,40.1
2,250,0.9800,612.3,0.0000,75.1

3,BFS,1.0000,28844.645,0.0000,8839.325
3,5,0.3000,1383.0,0.9521,3.2
3,10,0.3700,2423.3,0.9160,6.0
3,25,0.4550,3284.4,0.8861,14.2
3,50,0.6100,3486.8,0.8791,28.6
3,100,0.7000,3873.3,0.8657,61.8
3,250,0.8250,5129.8,0.8222,165.5
